be		26 
out		95 77 61 28 40 89 36 87 54 73 18 29 52 79 
while		56 76 33 26 61 23 62 71 81 90 37 79 32 4 15 49 7 84 88 98 82 87 29 93 36 19 85 75 57 24 86 12 80 6 45 70 63 99 54 97 60 53 50 16 8 2 
most		70 77 44 30 33 93 80 24 82 40 2 4 5 72 14 53 83 63 31 98 19 71 
made		31 62 88 38 99 
they		96 76 20 43 31 50 6 7 90 23 68 75 1 80 67 21 81 71 86 8 74 98 99 9 78 36 54 34 38 32 70 82 62 95 44 59 41 55 69 
that		17 44 57 4 
as		66 80 37 32 33 55 
were		92 
is		97 16 14 69 65 35 87 71 50 59 8 43 61 47 100 4 26 27 86 64 23 46 66 91 51 82 25 54 56 49 33 80 52 60 62 44 17 11 67 
no		86 51 49 29 81 54 48 
a		5 53 27 90 43 66 33 9 58 37 11 2 30 81 87 8 77 40 100 32 83 98 19 76 73 99 39 80 17 70 50 34 45 23 49 61 92 91 79 64 20 38 
have		90 53 78 84 72 7 47 5 9 98 
him		37 67 45 25 78 58 42 39 18 12 79 76 31 15 1 35 4 77 10 73 60 5 27 66 47 34 11 95 87 74 61 49 23 89 91 75 71 38 9 68 54 19 
other		75 56 11 1 37 71 86 92 93 48 30 58 100 17 26 60 43 9 27 80 35 61 78 76 38 79 4 
had		27 38 6 34 98 
well		13 97 53 75 6 52 5 9 68 72 26 37 91 65 32 51 45 15 25 93 69 94 88 10 2 56 84 78 11 95 58 80 30 
where		67 23 84 32 13 28 50 64 100 63 31 52 54 82 55 69 19 85 88 62 51 58 6 37 83 26 45 73 75 20 43 93 97 14 81 34 59 
which		88 83 20 56 99 73 22 21 1 4 48 44 14 13 42 49 40 90 78 100 16 25 93 36 71 
called		41 60 42 29 75 15 11 6 
these		25 50 92 58 80 85 52 57 19 68 6 44 31 87 30 47 78 53 12 75 21 97 33 15 34 65 38 81 
also		12 34 27 32 9 81 48 11 67 96 24 37 69 80 98 16 5 28 2 19 91 49 41 79 40 84 13 33 7 53 75 60 70 18 92 77 26 14 97 74 51 35 93 72 
such		77 99 54 25 27 79 70 53 91 62 30 80 89 59 71 35 8 26 22 19 84 11 37 49 48 50 17 33 92 2 44 75 6 72 98 51 10 42 67 82 1 97 46 40 65 95 60 9 
new		22 48 2 86 14 33 82 16 7 56 40 61 72 27 3 88 97 94 95 91 31 74 75 15 
he		95 32 26 85 80 37 44 46 68 4 42 13 47 14 70 30 52 29 71 7 96 81 20 12 73 60 18 75 
all		71 73 94 8 61 75 19 21 98 45 55 67 84 80 82 40 57 28 3 68 24 50 69 17 92 62 76 20 93 29 7 5 39 31 26 72 
time		3 92 29 97 13 20 91 1 54 90 49 11 31 61 44 42 59 
under		70 100 28 52 67 69 7 6 2 35 15 74 96 13 19 55 27 53 82 54 38 60 25 18 10 4 66 5 77 23 98 86 51 24 29 84 95 17 9 68 63 14 58 12 32 44 90 45 88 
or		65 29 32 78 46 60 99 
with		31 57 86 5 65 12 55 84 24 4 85 60 7 96 28 18 66 95 81 27 19 87 46 89 68 6 63 51 78 100 50 67 
about		79 48 73 97 86 89 29 100 19 26 17 96 40 20 21 3 44 15 71 27 6 84 60 87 55 35 25 51 76 81 33 50 82 52 28 64 92 37 24 53 38 8 59 68 49 10 67 65 1 66 
